period_date,latitude,longitude,temp_mean,temp_max,temp_min,precipitation,humidity,market
2008-01-01,13.36,39.76,22.22,32.43,13.04,0.3,52.11,Abaala
2008-02-01,13.36,39.76,22.14,32.98,13.26,0.03,45.16,Abaala
2008-03-01,13.36,39.76,24.99,36.16,13.76,0.0,22.24,Abaala
2008-04-01,13.36,39.76,27.1,37.21,17.57,1.09,35.83,Abaala
2008-05-01,13.36,39.76,28.79,37.79,20.41,0.58,38.22,Abaala
2008-06-01,13.36,39.76,30.23,38.22,23.15,0.34,32.81,Abaala
2008-07-01,13.36,39.76,29.56,39.05,22.79,2.89,41.71,Abaala
2008-08-01,13.36,39.76,28.39,37.22,22.05,3.41,46.66,Abaala
2008-09-01,13.36,39.76,27.92,37.12,20.9,0.88,44.97,Abaala
2008-10-01,13.36,39.76,25.72,34.07,17.96,0.1,44.68,Abaala
2008-11-01,13.36,39.76,23.04,30.81,14.01,0.59,46.65,Abaala
2008-12-01,13.36,39.76,21.42,30.08,11.36,0.0,44.54,Abaala
2009-01-01,13.36,39.76,22.26,32.28,13.36,0.09,46.86,Abaala
2009-02-01,13.36,39.76,24.05,35.24,14.69,0.04,41.89,Abaala
2009-03-01,13.36,39.76,25.28,37.28,15.46,0.27,47.16,Abaala
2009-04-01,13.36,39.76,27.51,37.51,18.89,0.44,39.6,Abaala
2009-05-01,13.36,39.76,29.46,38.47,21.23,0.02,30.99,Abaala
2009-06-01,13.36,39.76,31.03,39.6,23.4,0.8,30.58,Abaala
2009-07-01,13.36,39.76,27.95,37.52,21.42,6.83,50.88,Abaala
2009-08-01,13.36,39.76,27.26,35.96,20.98,4.47,57.32,Abaala
2009-09-01,13.36,39.76,27.72,35.38,21.53,0.35,44.71,Abaala
2009-10-01,13.36,39.76,25.11,35.54,16.43,1.43,44.57,Abaala
2009-11-01,13.36,39.76,24.01,32.44,15.51,0.01,37.09,Abaala
2009-12-01,13.36,39.76,23.22,33.12,15.43,0.2,53.67,Abaala
2010-01-01,13.36,39.76,21.97,31.87,12.21,0.0,48.16,Abaala
2010-02-01,13.36,39.76,23.59,34.32,15.93,0.75,49.92,Abaala
2010-03-01,13.36,39.76,24.9,34.73,14.04,0.49,45.6,Abaala
2010-04-01,13.36,39.76,28.17,36.54,19.51,1.67,45.07,Abaala
2010-05-01,13.36,39.76,29.11,38.83,21.69,1.18,41.14,Abaala
2010-06-01,13.36,39.76,30.71,39.56,22.57,0.82,32.62,Abaala
2010-07-01,13.36,39.76,27.38,38.36,20.9,5.83,53.49,Abaala
2010-08-01,13.36,39.76,26.13,34.72,21.25,8.83,64.87,Abaala
2010-09-01,13.36,39.76,25.9,32.71,19.17,1.02,56.8,Abaala
2010-10-01,13.36,39.76,26.19,34.52,18.12,0.11,43.39,Abaala
2010-11-01,13.36,39.76,23.5,32.28,14.47,0.11,39.8,Abaala
2010-12-01,13.36,39.76,21.72,30.84,12.21,0.0,41.16,Abaala
2011-01-01,13.36,39.76,22.06,32.67,13.93,0.06,55.2,Abaala
2011-02-01,13.36,39.76,23.16,33.92,14.56,0.18,46.28,Abaala
2011-03-01,13.36,39.76,23.64,34.58,16.24,1.39,46.76,Abaala
2011-04-01,13.36,39.76,27.52,37.69,17.51,0.19,41.01,Abaala
2011-05-01,13.36,39.76,27.78,36.6,19.72,2.45,46.5,Abaala
2011-06-01,13.36,39.76,30.07,39.3,22.11,0.12,30.94,Abaala
2011-07-01,13.36,39.76,29.31,39.31,22.83,2.73,42.14,Abaala
2011-08-01,13.36,39.76,28.97,38.93,22.77,1.44,45.04,Abaala
2011-09-01,13.36,39.76,28.51,37.01,21.68,0.72,39.59,Abaala
2011-10-01,13.36,39.76,26.02,35.15,17.15,0.14,38.69,Abaala
2011-11-01,13.36,39.76,23.47,31.9,15.33,0.25,54.09,Abaala
2011-12-01,13.36,39.76,21.66,30.18,13.71,0.01,46.42,Abaala
2012-01-01,13.36,39.76,22.19,31.94,15.02,0.01,51.52,Abaala
2012-02-01,13.36,39.76,22.97,36.01,12.77,0.0,41.04,Abaala
2012-03-01,13.36,39.76,24.76,35.22,15.25,0.01,39.26,Abaala
2012-04-01,13.36,39.76,27.51,36.75,19.09,0.55,46.72,Abaala
2012-05-01,13.36,39.76,29.98,38.28,21.64,0.13,35.51,Abaala
2012-06-01,13.36,39.76,30.62,39.93,22.78,0.36,29.23,Abaala
2012-07-01,13.36,39.76,29.15,38.87,23.39,3.06,44.27,Abaala
2012-08-01,13.36,39.76,28.31,36.83,21.5,2.2,47.46,Abaala
2012-09-01,13.36,39.76,28.49,37.43,21.27,0.64,40.29,Abaala
2012-10-01,13.36,39.76,26.09,34.72,17.62,0.02,35.35,Abaala
2012-11-01,13.36,39.76,24.66,33.31,16.17,0.07,37.26,Abaala
2012-12-01,13.36,39.76,23.08,31.88,14.03,0.04,44.17,Abaala
2013-01-01,13.36,39.76,22.47,34.32,13.27,0.21,49.65,Abaala
2013-02-01,13.36,39.76,23.34,34.27,13.95,0.04,41.62,Abaala
2013-03-01,13.36,39.76,25.92,35.39,17.81,0.74,47.38,Abaala
2013-04-01,13.36,39.76,27.47,37.76,18.77,0.44,49.27,Abaala
2013-05-01,13.36,39.76,30.05,38.12,21.49,0.77,32.53,Abaala
2013-06-01,13.36,39.76,30.04,38.5,23.06,1.51,31.53,Abaala
2013-07-01,13.36,39.76,28.79,38.52,21.68,6.54,45.64,Abaala
2013-08-01,13.36,39.76,24.85,31.83,19.67,8.59,68.43,Abaala
2013-09-01,13.36,39.76,26.29,33.32,19.77,0.85,55.16,Abaala
2013-10-01,13.36,39.76,24.49,32.39,17.87,3.0,54.47,Abaala
2013-11-01,13.36,39.76,23.86,31.38,14.2,0.13,51.5,Abaala
2013-12-01,13.36,39.76,21.36,30.68,13.57,0.21,46.34,Abaala
2014-01-01,13.36,39.76,22.33,32.73,12.81,0.07,50.47,Abaala
2014-02-01,13.36,39.76,23.17,34.27,15.88,0.48,56.09,Abaala
2014-03-01,13.36,39.76,25.18,34.75,16.21,0.53,46.99,Abaala
2014-04-01,13.36,39.76,26.99,37.54,18.32,2.34,43.89,Abaala
2014-05-01,13.36,39.76,28.24,36.72,21.31,1.67,43.38,Abaala
2014-06-01,13.36,39.76,30.02,39.41,22.61,1.65,34.77,Abaala
2014-07-01,13.36,39.76,27.98,39.25,20.74,8.78,53.94,Abaala
2014-08-01,13.36,39.76,26.1,33.97,20.95,4.54,61.87,Abaala
2014-09-01,13.36,39.76,25.43,33.33,19.6,2.2,57.78,Abaala
2014-10-01,13.36,39.76,24.39,32.2,18.22,0.99,53.72,Abaala
2014-11-01,13.36,39.76,23.9,32.55,16.64,0.22,49.43,Abaala
2014-12-01,13.36,39.76,21.85,30.14,13.99,0.01,44.79,Abaala
2015-01-01,13.36,39.76,20.95,31.88,12.76,0.38,53.62,Abaala
2015-02-01,13.36,39.76,23.72,33.92,14.2,0.0,41.77,Abaala
2015-03-01,13.36,39.76,26.1,35.71,16.58,0.19,37.19,Abaala
2015-04-01,13.36,39.76,27.1,36.78,17.19,0.0,37.6,Abaala
2015-05-01,13.36,39.76,29.56,38.96,20.55,0.19,36.67,Abaala
2015-06-01,13.36,39.76,29.45,38.84,21.68,3.71,36.24,Abaala
2015-07-01,13.36,39.76,29.68,38.58,21.55,2.17,39.83,Abaala
2015-08-01,13.36,39.76,27.76,36.44,21.77,9.14,55.2,Abaala
2015-09-01,13.36,39.76,27.69,36.7,21.19,0.12,46.8,Abaala
2015-10-01,13.36,39.76,26.84,35.46,19.56,0.19,42.25,Abaala
2015-11-01,13.36,39.76,24.52,33.92,16.47,0.29,52.19,Abaala
2015-12-01,13.36,39.76,22.04,30.79,14.19,1.64,60.41,Abaala
2016-01-01,13.36,39.76,22.09,31.32,14.03,0.17,57.68,Abaala
2016-02-01,13.36,39.76,23.4,34.58,13.53,0.14,48.03,Abaala
2016-03-01,13.36,39.76,27.16,37.78,18.98,1.46,47.28,Abaala
2016-04-01,13.36,39.76,26.6,36.61,18.4,4.96,58.73,Abaala
2016-05-01,13.36,39.76,27.53,36.68,20.51,3.15,47.06,Abaala
2016-06-01,13.36,39.76,30.05,38.01,22.08,0.37,34.02,Abaala
2016-07-01,13.36,39.76,27.12,38.16,21.02,8.2,55.83,Abaala
2016-08-01,13.36,39.76,25.75,33.55,20.67,4.94,64.9,Abaala
2016-09-01,13.36,39.76,26.69,34.39,19.67,2.12,52.9,Abaala
2016-10-01,13.36,39.76,25.86,33.2,17.41,0.37,42.34,Abaala
2016-11-01,13.36,39.76,23.68,32.92,14.09,0.07,38.35,Abaala
2016-12-01,13.36,39.76,22.46,31.99,13.16,0.01,40.76,Abaala
2017-01-01,13.36,39.76,21.86,32.2,12.01,0.0,30.4,Abaala
2017-02-01,13.36,39.76,22.48,32.67,15.71,2.09,59.42,Abaala
2017-03-01,13.36,39.76,25.91,36.54,17.65,0.28,47.44,Abaala
2017-04-01,13.36,39.76,27.3,37.51,18.41,4.41,40.31,Abaala
2017-05-01,13.36,39.76,27.73,35.4,20.32,1.99,50.59,Abaala
2017-06-01,13.36,39.76,30.34,39.32,22.28,0.7,32.16,Abaala
2017-07-01,13.36,39.76,29.65,39.19,22.87,2.96,43.69,Abaala
2017-08-01,13.36,39.76,27.58,37.65,22.13,5.49,56.23,Abaala
2017-09-01,13.36,39.76,27.29,34.62,21.2,0.59,50.42,Abaala
2017-10-01,13.36,39.76,25.82,33.83,18.68,0.8,50.99,Abaala
2017-11-01,13.36,39.76,23.79,32.45,14.12,0.16,43.45,Abaala
2017-12-01,13.36,39.76,21.0,30.93,12.08,0.0,38.11,Abaala
2018-01-01,13.36,39.76,20.99,31.69,11.94,0.77,55.79,Abaala
2018-02-01,13.36,39.76,23.37,35.43,13.08,0.62,45.64,Abaala
2018-03-01,13.36,39.76,24.87,35.04,16.63,0.93,41.54,Abaala
2018-04-01,13.36,39.76,26.52,35.82,19.75,2.82,52.97,Abaala
2018-05-01,13.36,39.76,29.12,38.39,20.8,0.05,36.07,Abaala
2018-06-01,13.36,39.76,30.47,39.13,23.3,0.09,32.24,Abaala
2018-07-01,13.36,39.76,29.38,38.46,21.75,3.42,42.88,Abaala
2018-08-01,13.36,39.76,27.84,35.8,21.22,4.25,51.97,Abaala
2018-09-01,13.36,39.76,26.86,34.91,20.52,5.49,54.59,Abaala
2018-10-01,13.36,39.76,25.2,33.12,17.25,1.7,50.21,Abaala
2018-11-01,13.36,39.76,23.88,32.86,15.34,0.69,46.07,Abaala
2018-12-01,13.36,39.76,22.61,31.79,13.46,0.09,49.4,Abaala
2019-01-01,13.36,39.76,22.66,32.55,13.49,0.0,38.76,Abaala
2019-02-01,13.36,39.76,23.31,34.7,14.8,2.53,54.38,Abaala
2019-03-01,13.36,39.76,24.7,37.28,16.54,1.07,58.88,Abaala
2019-04-01,13.36,39.76,26.13,35.49,18.62,4.49,59.3,Abaala
2019-05-01,13.36,39.76,28.94,37.37,21.2,0.03,36.86,Abaala
2019-06-01,13.36,39.76,30.07,39.7,21.96,1.06,35.97,Abaala
2019-07-01,13.36,39.76,30.72,39.12,23.95,0.01,36.16,Abaala
2019-08-01,13.36,39.76,28.22,37.67,21.38,2.2,45.18,Abaala
2019-09-01,13.36,39.76,28.2,36.94,20.75,3.71,45.61,Abaala
2019-10-01,13.36,39.76,23.95,31.08,15.77,3.56,56.81,Abaala
2019-11-01,13.36,39.76,23.67,31.39,15.97,1.79,56.38,Abaala
2019-12-01,13.36,39.76,22.26,30.47,15.51,0.94,58.17,Abaala
2020-01-01,13.36,39.76,21.02,30.07,13.36,0.69,64.29,Abaala
2020-02-01,13.36,39.76,23.33,33.94,14.81,0.17,54.45,Abaala
2020-03-01,13.36,39.76,25.08,35.47,17.31,0.81,53.53,Abaala
2020-04-01,13.36,39.76,26.96,37.13,18.57,5.2,49.97,Abaala
2020-05-01,13.36,39.76,28.17,37.86,21.27,1.72,44.2,Abaala
2020-06-01,13.36,39.76,29.49,38.45,22.08,0.83,36.51,Abaala
2020-07-01,13.36,39.76,27.97,39.38,20.94,4.2,49.1,Abaala
2020-08-01,13.36,39.76,25.95,34.18,19.55,4.89,61.48,Abaala
2020-09-01,13.36,39.76,27.22,34.81,21.04,0.78,46.69,Abaala
2020-10-01,13.36,39.76,25.68,33.63,17.73,0.45,41.36,Abaala
2020-11-01,13.36,39.76,23.95,31.97,15.37,0.69,44.11,Abaala
2020-12-01,13.36,39.76,22.55,31.47,12.81,0.01,49.63,Abaala
2021-01-01,13.36,39.76,21.83,31.24,13.44,0.07,43.48,Abaala
2021-02-01,13.36,39.76,22.14,33.21,14.39,1.67,53.89,Abaala
2021-03-01,13.36,39.76,24.98,35.2,15.72,0.0,35.11,Abaala
2021-04-01,13.36,39.76,26.65,37.14,17.93,2.01,41.53,Abaala
2021-05-01,13.36,39.76,27.99,36.99,19.39,3.46,41.2,Abaala
2021-06-01,13.36,39.76,30.41,39.25,23.09,0.41,32.84,Abaala
2021-07-01,13.36,39.76,26.36,35.78,20.79,9.36,60.53,Abaala
2021-08-01,13.36,39.76,25.99,33.39,20.69,5.94,64.1,Abaala
2021-09-01,13.36,39.76,25.52,32.48,18.64,3.83,58.52,Abaala
2021-10-01,13.36,39.76,24.64,31.78,17.23,1.02,54.97,Abaala
2021-11-01,13.36,39.76,24.23,32.32,16.66,0.0,45.71,Abaala
2021-12-01,13.36,39.76,22.31,30.98,13.29,2.89,48.99,Abaala
2022-01-01,13.36,39.76,20.85,30.09,14.29,2.84,69.08,Abaala
2022-02-01,13.36,39.76,22.84,32.17,14.73,0.47,59.73,Abaala
2022-03-01,13.36,39.76,24.29,34.89,15.3,1.69,47.97,Abaala
2022-04-01,13.36,39.76,27.95,37.37,18.39,1.38,37.39,Abaala
2022-05-01,13.36,39.76,29.4,38.03,20.16,0.19,32.33,Abaala
2022-06-01,13.36,39.76,29.84,40.72,22.74,3.98,35.45,Abaala
2022-07-01,13.36,39.76,25.68,35.48,20.15,10.17,63.42,Abaala
2022-08-01,13.36,39.76,24.47,31.41,19.5,8.54,72.74,Abaala
2022-09-01,13.36,39.76,25.34,32.6,20.17,2.64,63.41,Abaala
2022-10-01,13.36,39.76,24.22,30.22,17.17,2.47,56.83,Abaala
2022-11-01,13.36,39.76,23.67,31.66,15.83,0.04,45.9,Abaala
2022-12-01,13.36,39.76,22.16,31.47,15.11,0.53,53.36,Abaala
2023-01-01,13.36,39.76,22.26,32.06,13.69,0.15,48.13,Abaala
2023-02-01,13.36,39.76,23.22,33.58,12.88,0.8,44.5,Abaala
2023-03-01,13.36,39.76,24.12,35.03,16.29,4.22,59.57,Abaala
2023-04-01,13.36,39.76,25.1,34.56,18.82,9.03,66.61,Abaala
2023-05-01,13.36,39.76,26.71,34.88,20.43,2.06,62.2,Abaala
2023-06-01,13.36,39.76,27.53,36.75,19.64,5.92,53.68,Abaala
2023-07-01,13.36,39.76,28.48,36.51,22.11,4.43,52.27,Abaala
2023-08-01,13.36,39.76,27.67,36.64,21.19,4.57,56.95,Abaala
2023-09-01,13.36,39.76,28.56,36.73,21.89,2.0,45.13,Abaala
2023-10-01,13.36,39.76,25.9,35.17,18.51,5.38,54.07,Abaala
2023-11-01,13.36,39.76,23.93,31.36,16.8,1.57,58.33,Abaala
2023-12-01,13.36,39.76,22.94,31.62,14.62,0.0,52.3,Abaala
2024-01-01,13.36,39.76,22.53,32.2,15.03,0.73,57.73,Abaala
2024-02-01,13.36,39.76,23.8,34.3,16.47,0.06,59.8,Abaala
2024-03-01,13.36,39.76,26.73,36.34,18.2,0.18,51.29,Abaala
2024-04-01,13.36,39.76,27.85,36.7,20.69,3.23,53.64,Abaala
2024-05-01,13.36,39.76,29.26,39.97,22.35,0.48,44.7,Abaala
2024-06-01,13.36,39.76,31.39,40.75,23.81,0.93,34.31,Abaala
2024-07-01,13.36,39.76,28.53,37.64,21.48,5.65,50.53,Abaala
2024-08-01,13.36,39.76,25.17,34.1,19.81,9.84,70.86,Abaala
2024-09-01,13.36,39.76,26.02,33.24,19.91,1.14,60.72,Abaala
2024-10-01,13.36,39.76,25.7,33.53,18.99,0.75,55.81,Abaala
2024-11-01,13.36,39.76,24.27,31.71,15.53,0.05,47.93,Abaala
2024-12-01,13.36,39.76,22.36,31.1,14.36,0.01,47.53,Abaala
2025-01-01,13.36,39.76,22.09,31.46,13.79,0.05,50.68,Abaala
2025-02-01,13.36,39.76,23.91,34.09,13.68,0.23,46.65,Abaala
2025-03-01,13.36,39.76,25.51,35.38,18.58,1.28,50.73,Abaala
2025-04-01,13.36,39.76,28.23,37.98,19.54,0.12,35.36,Abaala
2025-05-01,13.36,39.76,29.51,39.96,20.18,1.94,36.95,Abaala
2025-06-01,13.36,39.76,30.93,40.34,21.4,0.64,25.84,Abaala
2025-07-01,13.36,39.76,30.09,38.96,23.74,1.96,40.43,Abaala
2025-08-01,13.36,39.76,26.58,35.47,20.43,6.15,59.53,Abaala
2025-09-01,13.36,39.76,26.08,34.69,19.8,5.79,58.12,Abaala
2025-10-01,13.36,39.76,24.77,31.97,18.82,0.95,53.27,Abaala
2025-11-01,13.36,39.76,23.62,31.58,15.0,0.01,41.08,Abaala
2025-12-01,13.36,39.76,22.59,32.16,14.64,0.25,53.24,Abaala
2008-01-01,13.56,38.97,19.84,30.12,8.44,0.14,47.24,Abi Adi
2008-02-01,13.56,38.97,20.25,31.52,7.88,0.0,39.89,Abi Adi
2008-03-01,13.56,38.97,22.15,33.8,8.56,0.11,23.98,Abi Adi
2008-04-01,13.56,38.97,22.82,34.1,12.92,2.07,40.68,Abi Adi
2008-05-01,13.56,38.97,24.6,35.31,16.65,1.23,42.73,Abi Adi
2008-06-01,13.56,38.97,22.69,33.2,15.24,1.9,55.75,Abi Adi
2008-07-01,13.56,38.97,20.21,30.65,14.39,6.04,73.08,Abi Adi
2008-08-01,13.56,38.97,19.42,28.04,14.3,8.45,80.72,Abi Adi
2008-09-01,13.56,38.97,20.57,28.59,13.72,2.76,68.29,Abi Adi
2008-10-01,13.56,38.97,20.35,28.46,11.57,0.14,54.79,Abi Adi
2008-11-01,13.56,38.97,18.97,28.95,7.76,0.36,49.33,Abi Adi
2008-12-01,13.56,38.97,18.62,29.16,7.73,0.0,44.88,Abi Adi
2009-01-01,13.56,38.97,19.72,30.63,9.24,0.01,40.97,Abi Adi
2009-02-01,13.56,38.97,21.83,33.01,10.8,0.25,39.76,Abi Adi
2009-03-01,13.56,38.97,24.17,34.83,13.41,0.07,38.42,Abi Adi
2009-04-01,13.56,38.97,24.63,35.71,14.59,0.15,34.91,Abi Adi
2009-05-01,13.56,38.97,25.73,34.79,15.11,0.1,31.44,Abi Adi
2009-06-01,13.56,38.97,23.85,35.21,15.65,4.08,53.54,Abi Adi
2009-07-01,13.56,38.97,19.58,28.81,14.48,11.32,79.32,Abi Adi
2009-08-01,13.56,38.97,19.9,28.31,13.35,8.0,80.62,Abi Adi
2009-09-01,13.56,38.97,20.88,28.42,13.61,2.24,65.35,Abi Adi
2009-10-01,13.56,38.97,19.56,27.99,9.78,1.34,57.23,Abi Adi
2009-11-01,13.56,38.97,19.13,28.25,8.84,0.03,46.84,Abi Adi
2009-12-01,13.56,38.97,20.08,29.47,11.4,0.06,50.28,Abi Adi
2010-01-01,13.56,38.97,20.19,30.84,9.66,0.0,45.25,Abi Adi
2010-02-01,13.56,38.97,22.45,33.05,12.51,0.02,39.05,Abi Adi
2010-03-01,13.56,38.97,22.48,33.79,8.67,0.51,40.99,Abi Adi
2010-04-01,13.56,38.97,24.73,34.39,15.95,1.42,45.46,Abi Adi
2010-05-01,13.56,38.97,25.45,35.27,16.45,1.36,40.42,Abi Adi
2010-06-01,13.56,38.97,23.16,34.26,15.05,2.04,57.29,Abi Adi
2010-07-01,13.56,38.97,19.52,30.95,14.22,8.82,78.81,Abi Adi
2010-08-01,13.56,38.97,18.77,24.93,14.42,15.35,86.83,Abi Adi
2010-09-01,13.56,38.97,19.81,26.19,11.31,4.24,74.62,Abi Adi
2010-10-01,13.56,38.97,19.14,27.02,11.62,0.13,62.94,Abi Adi
2010-11-01,13.56,38.97,18.39,26.83,9.52,0.13,53.54,Abi Adi
2010-12-01,13.56,38.97,17.96,27.5,7.17,0.0,48.66,Abi Adi
2011-01-01,13.56,38.97,19.67,30.08,10.84,0.04,49.58,Abi Adi
2011-02-01,13.56,38.97,20.64,32.43,8.86,0.03,39.39,Abi Adi
2011-03-01,13.56,38.97,21.28,33.04,10.64,0.73,44.82,Abi Adi
2011-04-01,13.56,38.97,24.34,34.33,14.86,0.1,37.89,Abi Adi
2011-05-01,13.56,38.97,23.78,34.3,15.87,4.26,49.92,Abi Adi
2011-06-01,13.56,38.97,23.66,33.26,15.91,0.33,50.48,Abi Adi
2011-07-01,13.56,38.97,20.84,30.17,15.27,3.41,67.92,Abi Adi
2011-08-01,13.56,38.97,20.48,29.41,15.08,2.86,73.06,Abi Adi
2011-09-01,13.56,38.97,21.5,31.78,14.43,1.12,61.08,Abi Adi
2011-10-01,13.56,38.97,21.19,31.06,10.91,0.44,44.83,Abi Adi
2011-11-01,13.56,38.97,20.36,30.26,10.24,0.35,48.79,Abi Adi
2011-12-01,13.56,38.97,18.82,30.11,7.35,0.0,43.59,Abi Adi
2012-01-01,13.56,38.97,20.23,31.25,8.9,0.0,43.59,Abi Adi
2012-02-01,13.56,38.97,20.35,33.01,7.79,0.0,35.74,Abi Adi
2012-03-01,13.56,38.97,22.81,33.72,10.86,0.02,34.14,Abi Adi
2012-04-01,13.56,38.97,24.97,34.8,15.21,0.11,37.79,Abi Adi
2012-05-01,13.56,38.97,25.75,35.36,16.63,0.07,36.82,Abi Adi
2012-06-01,13.56,38.97,24.06,35.35,15.82,1.07,48.49,Abi Adi
2012-07-01,13.56,38.97,20.04,28.51,15.1,5.77,76.79,Abi Adi
2012-08-01,13.56,38.97,19.47,28.76,14.25,5.1,80.61,Abi Adi
2012-09-01,13.56,38.97,21.2,29.64,14.11,2.54,65.3,Abi Adi
2012-10-01,13.56,38.97,20.97,31.01,10.68,0.34,45.51,Abi Adi
2012-11-01,13.56,38.97,20.99,30.88,11.92,0.58,44.87,Abi Adi
2012-12-01,13.56,38.97,19.73,30.33,9.9,0.13,43.16,Abi Adi
2013-01-01,13.56,38.97,20.63,31.87,9.58,0.02,43.26,Abi Adi
2013-02-01,13.56,38.97,21.64,33.28,11.22,0.01,36.3,Abi Adi
2013-03-01,13.56,38.97,24.35,34.46,14.79,0.18,36.68,Abi Adi
2013-04-01,13.56,38.97,25.38,35.28,15.69,0.35,38.28,Abi Adi
2013-05-01,13.56,38.97,25.52,35.12,16.8,1.2,36.41,Abi Adi
2013-06-01,13.56,38.97,23.59,34.63,16.06,1.44,49.42,Abi Adi
2013-07-01,13.56,38.97,19.91,30.07,14.43,9.25,73.27,Abi Adi
2013-08-01,13.56,38.97,18.72,25.43,14.24,12.99,85.05,Abi Adi
2013-09-01,13.56,38.97,20.36,27.64,13.93,2.66,71.21,Abi Adi
2013-10-01,13.56,38.97,18.9,26.17,10.75,3.17,67.24,Abi Adi
2013-11-01,13.56,38.97,18.75,26.88,9.41,0.64,62.75,Abi Adi
2013-12-01,13.56,38.97,17.42,27.59,7.49,0.0,49.32,Abi Adi
2014-01-01,13.56,38.97,19.7,30.36,9.51,0.03,49.34,Abi Adi
2014-02-01,13.56,38.97,21.15,32.13,11.42,0.28,45.99,Abi Adi
2014-03-01,13.56,38.97,22.87,34.16,13.58,1.52,44.0,Abi Adi
2014-04-01,13.56,38.97,23.48,33.57,13.93,2.32,44.12,Abi Adi
2014-05-01,13.56,38.97,23.66,33.4,16.02,3.48,51.52,Abi Adi
2014-06-01,13.56,38.97,23.52,33.46,16.14,1.94,52.13,Abi Adi
2014-07-01,13.56,38.97,20.32,30.96,15.08,10.61,77.3,Abi Adi
2014-08-01,13.56,38.97,19.31,28.3,14.08,9.25,82.85,Abi Adi
2014-09-01,13.56,38.97,19.49,27.19,13.45,4.87,74.52,Abi Adi
2014-10-01,13.56,38.97,18.73,26.66,10.77,0.95,67.21,Abi Adi
2014-11-01,13.56,38.97,18.82,27.08,10.1,0.12,59.81,Abi Adi
2014-12-01,13.56,38.97,17.95,27.82,7.04,0.02,51.25,Abi Adi
2015-01-01,13.56,38.97,18.66,30.47,7.3,0.04,48.84,Abi Adi
2015-02-01,13.56,38.97,21.38,32.37,7.9,0.0,37.02,Abi Adi
2015-03-01,13.56,38.97,23.09,33.62,11.96,0.15,37.18,Abi Adi
2015-04-01,13.56,38.97,24.44,34.13,14.01,0.01,34.16,Abi Adi
2015-05-01,13.56,38.97,25.09,35.47,15.49,2.22,42.56,Abi Adi
2015-06-01,13.56,38.97,22.72,34.73,15.4,5.12,56.61,Abi Adi
2015-07-01,13.56,38.97,21.49,30.87,15.31,6.26,67.14,Abi Adi
2015-08-01,13.56,38.97,20.0,28.44,15.1,11.84,81.18,Abi Adi
2015-09-01,13.56,38.97,21.36,29.95,14.13,0.45,64.76,Abi Adi
2015-10-01,13.56,38.97,21.07,28.99,13.7,0.9,56.46,Abi Adi
2015-11-01,13.56,38.97,20.21,28.82,10.66,0.34,58.15,Abi Adi
2015-12-01,13.56,38.97,19.57,28.51,11.06,1.41,59.57,Abi Adi
2016-01-01,13.56,38.97,20.43,30.66,11.27,0.04,50.49,Abi Adi
2016-02-01,13.56,38.97,22.14,33.52,11.75,0.01,42.16,Abi Adi
2016-03-01,13.56,38.97,24.64,35.03,13.36,2.56,41.55,Abi Adi
2016-04-01,13.56,38.97,24.32,34.43,15.81,3.13,46.19,Abi Adi
2016-05-01,13.56,38.97,22.49,31.74,15.63,6.66,59.58,Abi Adi
2016-06-01,13.56,38.97,22.62,33.53,15.39,2.59,60.22,Abi Adi
2016-07-01,13.56,38.97,19.07,26.95,15.02,19.11,84.27,Abi Adi
2016-08-01,13.56,38.97,19.05,27.18,14.62,14.52,85.29,Abi Adi
2016-09-01,13.56,38.97,20.31,27.42,14.06,3.47,73.97,Abi Adi
2016-10-01,13.56,38.97,19.2,26.28,10.37,0.83,62.16,Abi Adi
2016-11-01,13.56,38.97,17.73,27.28,7.19,0.0,51.88,Abi Adi
2016-12-01,13.56,38.97,17.3,28.12,7.13,0.0,49.55,Abi Adi
2017-01-01,13.56,38.97,17.52,30.12,5.76,0.0,33.29,Abi Adi
2017-02-01,13.56,38.97,21.14,31.1,11.41,1.03,52.46,Abi Adi
2017-03-01,13.56,38.97,23.33,33.47,14.21,0.07,40.09,Abi Adi
2017-04-01,13.56,38.97,23.85,34.5,13.65,3.02,41.11,Abi Adi
2017-05-01,13.56,38.97,23.27,32.75,15.29,3.68,56.53,Abi Adi
2017-06-01,13.56,38.97,23.48,33.06,16.25,3.39,57.37,Abi Adi
2017-07-01,13.56,38.97,20.33,29.0,14.34,5.86,77.02,Abi Adi
2017-08-01,13.56,38.97,19.49,26.65,14.28,9.07,83.74,Abi Adi
2017-09-01,13.56,38.97,20.99,28.47,14.5,2.2,69.0,Abi Adi
2017-10-01,13.56,38.97,20.39,28.25,11.22,0.69,63.51,Abi Adi
2017-11-01,13.56,38.97,19.22,27.99,10.14,0.04,50.62,Abi Adi
2017-12-01,13.56,38.97,17.3,28.57,6.19,0.0,41.07,Abi Adi
2018-01-01,13.56,38.97,19.34,30.6,6.54,0.08,45.49,Abi Adi
2018-02-01,13.56,38.97,21.37,32.69,8.67,0.17,40.87,Abi Adi
2018-03-01,13.56,38.97,22.47,32.97,12.12,0.24,37.73,Abi Adi
2018-04-01,13.56,38.97,23.91,33.2,16.1,1.33,42.87,Abi Adi
2018-05-01,13.56,38.97,25.07,34.32,16.21,0.39,41.19,Abi Adi
2018-06-01,13.56,38.97,23.35,34.13,15.95,0.26,53.63,Abi Adi
